practice_name,canonical_code,postcode,street_address,telephone,email,website_url,nhs_profile_url,latitude,longitude,accepting_new_patients,country,nation,source_type,ods_primary_role_id,ods_primary_role_description,ods_active_roles,ods_org_link,last_change_date,registered_patient_count,google_maps_query
DR. ALLEN & PARTNERS,Z00066,BT15 3HF,"PARKSIDE SURGERY, GROVE WELLBEING CENTRE, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00066,2024-11-15,,DR. ALLEN & PARTNERS BT15 3HF
DR. BRANNICK & PARTNERS,Z00083,BT15 3HF,"GROVE MEDICAL PRACTICE, GROVE WELL BEING CENTRE, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00083,2023-08-21,,DR. BRANNICK & PARTNERS BT15 3HF
DR. HARKIN & PARTNERS,Z00086,BT15 5GF,"SALISBURY MEDICAL CENTRE, 474 ANTRIM ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00086,2021-09-20,,DR. HARKIN & PARTNERS BT15 5GF
DR. COOKE & PARTNERS,Z00031,BT16 2LN,"DUNDONALD MEDICAL CENTRE, 16 CHURCH ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00031,2021-09-16,,DR. COOKE & PARTNERS BT16 2LN
DR. DEVLIN & PARTNERS,Z00222,BT17 0FB,"WOODBROOKE MEDICAL PRACTICE, STEWARTSTOWN ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00222,2021-09-14,,DR. DEVLIN & PARTNERS BT17 0FB
DR. DICK & PARTNERS,Z00232,BT17 9AL,"THE HILL MEDICAL GROUP PRACTICE, 192 KINGSWAY, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00232,2021-09-14,,DR. DICK & PARTNERS BT17 9AL
DR. GLENFIELD & PARTNERS,Z00252,BT18 9AD,"PRIORY SURGERY, 26 HIGH STREET, HOLYWOOD",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00252,2023-08-21,,DR. GLENFIELD & PARTNERS BT18 9AD
DR. GOLDRING & PARTNERS,Z00257,BT18 9DA,"BROOK STREET SURGERY, BROOK STREET, HOLYWOOD",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00257,2021-09-14,,DR. GOLDRING & PARTNERS BT18 9DA
DR. KINNEAR,Z00264,BT19 6EU,"SILVERBIRCH MEDICAL PRACTICE, 39A SILVERBIRCH ROAD, BANGOR",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00264,2023-02-20,,DR. KINNEAR BT19 6EU
DR. HOWE & PARTNERS,Z00281,BT20 3EB,"CLELAND PARK SURGERY, 2 CLELAND PARK, BANGOR",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00281,2023-11-17,,DR. HOWE & PARTNERS BT20 3EB
